STATEFP,ELSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,MTFCC,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,UNSDLEA,layer,path
"41",,"4107230",Lake Oswego School District 7J,"00",KG,"12",G5420,,E,"33479066","2266191","+45.4123049","-122.6991542","07230",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107280",Lakeview School District 7,"00",KG,"12",G5420,,E,"4627827649","259637865","+42.3653864","-120.4003130","07280",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107380",Lebanon Community School District 9,"00",KG,"12",G5420,,E,"625021035","3151517","+44.5322410","-122.8210443","07380",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107500",Lincoln County School District,"00",KG,"12",G5420,,E,"2802922962","608909992","+44.6066258","-123.9130127","07500",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107530",Long Creek School District 17,"00",KG,"12",G5420,,E,"2152066729","18184","+44.7773512","-119.0063990","07530",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107590",Lowell School District 71,"00",KG,"12",G5420,,E,"809780271","27524704","+43.9411012","-122.5839671","07590",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107710",Mapleton School District 32,"00",KG,"12",G5420,,E,"652501606","1456340","+44.0789022","-123.8424478","07710",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107740",Marcola School District 79J,"00",KG,"12",G5420,,E,"302449509","0","+44.2142994","-122.7868321","07740",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107880",McDermitt School District 51,"00",KG,"12",G5420,,E,"7185158478","282522","+42.3071136","-117.6338573","07880",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4107980",McKenzie School District 68,"00",KG,"12",G5420,,E,"1981925368","13743913","+44.1224463","-122.1506889","07980",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108010",McMinnville School District 40,"00",KG,"12",G5420,,E,"305489237","127197","+45.2119166","-123.2820914","08010",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108040",Medford School District 549,"00",KG,"12",G5420,,E,"949436846","4246518","+42.2053810","-122.9932690","08040",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108100",Santiam Canyon School District 129J,"00",KG,"12",G5420,,E,"2094408169","17531962","+44.7133366","-122.1936128","08100",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108160",Milton-Freewater School District 7,"00",KG,"12",G5420,,E,"927913310","47030","+45.9380393","-118.2690376","08160",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108280",Mitchell School District 55,"00",KG,"12",G5420,,E,"1643398452","694283","+44.5177771","-120.0161252","08280",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108310",Molalla River School District 35,"00",KG,"12",G5420,,E,"538132925","676827","+45.0844293","-122.5192688","08310",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108430",Monroe School District 1J,"00",KG,"12",G5420,,E,"339807258","1111210","+44.3502692","-123.3924742","08430",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
"41",,"4108460",Monument School District 8,"00",KG,"12",G5420,,E,"1398100106","53512","+44.7604868","-119.4806565","08460",tl_2019_41_unsd,E:/Downloads/tl_2019_41_unsd/tl_2019_41_unsd.shp
